Operating condition,Anode voltage (V),Total flow rate (mg/s),Anode-cathode flow ratio,Background pressure (Torr),Anode current (A),Thrust (mN),Thrust relative uncertainty,Cathode coupling voltage (V),Cathode coupling voltage absolute uncertainty (V),Radial position from thruster exit (m),Angular position from thruster centerline (deg),Ion current density (mA/cm^2),Ion current density relative uncertainty
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,130,0.0008061,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,135,0.0006758,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,140,0.0006405,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,-10,0.6027,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,-5,0.8306,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,0,0.8314,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,5,0.789,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,10,0.5295,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,15,0.3369,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,20,0.2261,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,25,0.1688,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,30,0.1227,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,35,0.08923,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,40,0.06486,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,45,0.04592,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,50,0.03338,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,55,0.02492,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,60,0.01829,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,65,0.0151,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,70,0.0131,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,75,0.01087,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,80,0.007567,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,85,0.00538,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,90,0.004187,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,95,0.003465,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,100,0.002843,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,105,0.002348,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,110,0.001885,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,115,0.001527,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,120,0.001238,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,125,0.001094,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,130,0.001006,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,135,0.0008648,0.2
2,300,5.69,12,4.11E-06,4.5,80.457,0.009,31.95,0.3,1,140,0.0007302,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,-10,0.6176,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,-5,0.8976,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,0,0.8967,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,5,0.8491,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,10,0.5239,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,15,0.3233,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,20,0.222,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,25,0.1566,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,30,0.1135,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,35,0.0822,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,40,0.05798,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,45,0.04201,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,50,0.03075,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,55,0.02375,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,60,0.0182,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,65,0.01509,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,70,0.01367,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,75,0.01106,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,80,0.007812,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,85,0.006015,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,90,0.004465,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,95,0.003692,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,100,0.003137,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,105,0.002661,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,110,0.002241,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,115,0.001762,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,120,0.001468,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,125,0.001331,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,130,0.001192,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,135,0.001079,0.2
3,300,5.643,12,6.97E-06,4.5,81.14,0.009,32.02,0.3,1,140,0.0009499,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,-10,0.5861,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,-5,0.9727,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,0,1.053,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,5,0.8725,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,10,0.4715,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,15,0.2991,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,20,0.2002,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,25,0.1413,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,30,0.09977,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,35,0.07436,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,40,0.05099,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,45,0.03903,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,50,0.03028,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,55,0.02273,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,60,0.01875,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,65,0.016,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,70,0.01413,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,75,0.01194,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,80,0.008977,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,85,0.006839,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,90,0.005494,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,95,0.004672,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,100,0.00398,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,105,0.003514,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,110,0.002997,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,115,0.002627,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,120,0.002197,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,125,0.002052,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,130,0.00182,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,135,0.001666,0.2
4,300,5.665,12,1.23E-05,4.5,81.44,0.009,32.84,0.3,1,140,0.001473,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,-10,0.5861,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,-5,1,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,0,1.083,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,5,0.8295,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,10,0.4487,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,15,0.2849,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,20,0.1809,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,25,0.1313,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,30,0.09591,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,35,0.07072,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,40,0.05381,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,45,0.03862,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,50,0.02992,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,55,0.02389,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,60,0.01968,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,65,0.01735,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,70,0.01576,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,75,0.01299,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,80,0.01009,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,85,0.008327,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,90,0.006638,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,95,0.005662,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,100,0.004991,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,105,0.004276,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,110,0.003781,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,115,0.003429,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,120,0.002982,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,125,0.002713,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,130,0.00254,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,135,0.00228,0.2
5,300,5.633,12,1.58E-05,4.5,81.75,0.009,32.83,0.3,1,140,0.002148,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,-10,0.5556,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,-5,1,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,0,1.206,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,5,0.7656,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,10,0.4254,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,15,0.2427,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,20,0.17,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,25,0.1228,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,30,0.09072,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,35,0.06719,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,40,0.04923,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,45,0.03707,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,50,0.03048,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,55,0.02522,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,60,0.02214,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,65,0.01949,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,70,0.01726,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,75,0.0151,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,80,0.01248,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,85,0.01062,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,90,0.0091,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,95,0.007987,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,100,0.007259,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,105,0.006247,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,110,0.005669,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,115,0.005153,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,120,0.004776,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,125,0.004348,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,130,0.004205,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,135,0.003898,0.2
6,300,5.476,12,2.51E-05,4.5,82.3,0.009,33.09,0.3,1,140,0.003668,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,-10,0.4977,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,-5,0.8991,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,0,1.146,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,5,0.7075,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,10,0.3719,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,15,0.2297,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,20,0.1589,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,25,0.1179,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,30,0.08669,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,35,0.06048,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,40,0.04793,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,45,0.03832,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,50,0.03244,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,55,0.02845,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,60,0.02495,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,65,0.02188,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,70,0.01937,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,75,0.01752,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,80,0.01536,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,85,0.01347,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,90,0.01187,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,95,0.01069,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,100,0.009666,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,105,0.008781,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,110,0.007806,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,115,0.007281,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,120,0.006792,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,125,0.006363,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,130,0.006041,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,135,0.00571,0.2
7,300,5.364,12,3.82E-05,4.5,83.1,0.009,32.58,0.3,1,140,0.005494,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,-10,0.4369,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,-5,0.8084,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,0,1.057,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,5,0.6369,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,10,0.3183,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,15,0.2042,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,20,0.1508,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,25,0.1118,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,30,0.08192,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,35,0.06455,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,40,0.05266,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,45,0.04317,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,50,0.03776,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,55,0.03232,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,60,0.02923,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,65,0.02652,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,70,0.02487,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,75,0.02454,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,80,0.01862,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,85,0.01724,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,90,0.01612,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,95,0.01373,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,100,0.01319,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,105,0.01198,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,110,0.0114,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,115,0.01002,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,120,0.009356,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,125,0.008542,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,130,0.008783,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,135,0.007994,0.2
8,300,5.242,12,5.51E-05,4.5,82.39,0.009,32.1,0.3,1,140,0.007964,0.2
